Data,mandante,placar, visitante,vencedor,Rodada,Competição
23/4/2025,Getafe,0-1,Real Madrid,Real Madrid,R33,Campeonato Espanhol 2024/25
1/12/2024,Real Madrid,2-0,Getafe,Real Madrid,R15,Campeonato Espanhol 2024/25
1/2/2024,Getafe,0-2,Real Madrid,Real Madrid,R20,Campeonato Espanhol 2023/24
2/9/2023,Real Madrid,2-1,Getafe,Real Madrid,R4,Campeonato Espanhol 2023/24
13/5/2023,Real Madrid,1-0,Getafe,Real Madrid,R34,Campeonato Espanhol 2022/23
8/10/2022,Getafe,0-1,Real Madrid,Real Madrid,R8,Campeonato Espanhol 2022/23
9/4/2022,Real Madrid,2-0,Getafe,Real Madrid,R31,Campeonato Espanhol 2021/22
2/1/2022,Getafe,1-0,Real Madrid,Getafe,R19,Campeonato Espanhol 2021/22
18/4/2021,Getafe,0-0,Real Madrid,Empate,R33,Campeonato Espanhol 2020/21
9/2/2021,Real Madrid,2-0,Getafe,Real Madrid,R1,Campeonato Espanhol 2020/21
2/7/2020,Real Madrid,1-0,Getafe,Real Madrid,R33,Campeonato Espanhol 2019/20
4/1/20,Getafe,0-3,Real Madrid,Real Madrid,R19,Campeonato Espanhol 2019/20
25/4/2019,Getafe,0-0,Real Madrid,Empate,R34,La Liga 18/19
19/8/2018,Real Madrid,2-0,Getafe,Real Madrid,R1,La Liga 18/19
3/3/2018,Real Madrid,3-1,Getafe,Real Madrid,R27,La Liga 17/18
14/10/2017,Getafe,1-2,Real Madrid,Real Madrid,R8,La Liga 17/18
16/4/2016,Getafe,1-5,Real Madrid,Real Madrid,R33,Liga BBVA 15/16
5/12/2015,Real Madrid,4-1,Getafe,Real Madrid,R14,Liga BBVA 15/16
23/5/2015,Real Madrid,7-3,Getafe,Real Madrid,R38,Liga BBVA 14/15
18/1/2015,Getafe,0-3,Real Madrid,Real Madrid,R19,Liga BBVA 14/15
