Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
02/11/2025,Rem,1,1,Cha,Belem - PA,Empate,1,58
24/10/2025,Cui,1,3,Remo,Cuiaba - MT,Vitoria,3,57
18/10/2025,Rem,3,1,Ath-mg,Belem - PA,Vitoria,3,54
14/10/2025,Pay,2,3,Rem,Belem - PA,Vitoria,3,51
9/10/2025,Rem,2,1,Ath-pr,Belem - PA,Vitoria,3,48
5/10/2025,Ope,0,1,Rem,Ponta Grossa - PR,Vitoria,3,45
28/09/2025,Rem,4,2,Crb,Belem - PA,Vitoria,3,42
24/09/2025,Vol,2,1,Rem,Volta Redonda - RJ,Derrota,0,39
20/09/2025,Rem,0,1,Atl,Belem - PA,Derrota,0,39
13/09/2025,Vil,1,1,Rem,Goiania - GO,Empate,1,39
5/9/2025,Ama,1,3,Rem,Manaus - AM,Vitoria,3,38
28/08/2025,Rem,0,1,Cri,Belem - PA,Derrota,0,35
23/08/2025,Cor,0,0,Rem,Curitiba - PR,Empate,1,35
16/08/2025,Rem,1,1,Bot,Belem - PA,Empate,1,34
9/8/2025,Ame,0,1,Rem,Belo Horizonte - MG,Vitoria,3,33
1/8/2025,Rem,0,2,Fer,Belem - PA,Derrota,0,30
29/07/2025,Goi,1,1,Rem,Goiania - GO,Empate,1,30
24/07/2025,Rem,2,1,Ava,Belem - PA,Vitoria,3,29
17/07/2025,Rem,1,1,Gre,Belem - PA,Empate,1,26
13/07/2025,Cha,1,1,Rem,Chapeco - SC,Empate,1,25
5/7/2025,Rem,0,0,Cui,Belem - PA,Empate,1,24
29/06/2025,Ath-mg,1,2,Rem,Sao Joao del Rei - MG,Vitoria,3,23
21/06/2025,Rem,0,1,Pay,Belem - PA,Derrota,0,20
14/06/2025,Ath-pr,2,1,Rem,Curitiba - PR,Derrota,0,20
8/6/2025,Rem,2,1,Ope,Belem - PA,Vitoria,3,20
1/6/2025,Crb,2,0,Rem,Maceio - AL,Derrota,0,17
24/05/2025,Rem,1,1,Vol,Belem - PA,Empate,1,17
18/05/2025,Atl,1,1,Rem,Goiania - GO,Empate,1,16
14/05/2025,Rem,2,0,Vil,Belem - PA,Vitoria,3,15
3/5/2025,Rem,1,0,Ama,Belem - PA,Vitoria,3,12
25/04/2025,Cri,1,1,Rem,Criciuma - SC,Empate,1,9
21/04/2025,Rem,1,0,Cor,Belem - PA,Vitoria,3,8
17/04/2025,Bot,2,2,Rem,Ribeirao Preto - SP,Empate,1,5
13/04/2025,Rem,2,0,Ame,Belem - PA,Vitoria,3,4
6/4/2025,Fer,1,1,Rem,Araraquara - SP,Empate,1,1
